name,category,stock,price
8PM VODKA 250ML,Vodka,5,600
AMARULA 375ML,Cream,3,1500
ASCONI PASTORAL 750ML,Wines,1,2400
BALOZI CAN,Beers,31,300
BEST CREAM 750ML,Cream,2,1800
BEST GIN 750ML,Gin,4,1500
BEST WHISKEY 750ML,Whiskey,2,1500
BLACK AND WHITE 375ML,Whiskey,2,1200
BLACK ICE CAN,Beers,11,300
BLUE ICE COCONUT 250ML,Gin,2,200
BLUE ICE VODKA 250ML,Vodka,2,200
BOND 7 250ML,Whiskey,7,750
BOND 7 350ML,Whiskey,24,1000
BOND 7 WHISKY 750ML,Whiskey,3,1600
CAPRICE DRY RED 1L,Wines,1,1200
CAPRICE DRY WHITE 1L,Wines,2,1200
CAPTAIN MORGAN GOLD 250ML,Rum,40,400
CAPTAIN MORGAN GOLD 750ML,Rum,12,1500
CAPTAIN MORGAN MELON 250ML,Rum,39,450
CAPTAIN MORGAN SPLASH 750ML,Rum,38,1500
CHROME BRANDY 250ML,Brandy,42,300
CHROME BRANDY 750ML,Brandy,4,1200
CHROME GIN 250ML,Gin,2,320
CHROME GIN 750ML,Gin,2,900
CHROME VODKA 250ML,Vodka,36,300
CHROME VODKA 750ML,Vodka,8,1000
COKE CAN,Soft Drinks,2,150
COUNTY BRANDY 250ML,Brandy,18,350
COUNTY BRANDY 750ML,Brandy,4,1000
DALLAS BRANDY 250ML,Brandy,14,200
DR FINE WATER 1L,Soft Drinks,8,100
DR FINE WATER 500ML,Soft Drinks,6,50
FAMOUS GROUSE 750ML,Whiskey,1,2500
FAXE 500ML,Beers,24,450
FOUR COUSINS WHITE 750ML,Wines,1,1200
GILBEYS DRY GIN 250ML,Gin,6,650
GILBEYS DRY GIN 350ML,Gin,6,900
GILBEYS DRY GIN 750ML,Gin,2,1500
GORDONS DRY AND TONIC CAN,Gin,22,0
GORDONS PINK CAN,Gin,15,300
GRANTS 350ML,Whiskey,7,1200
GRANTS WHISKY 1L,Whiskey,5,2750
GRANTS WHISKY 750ML,Whiskey,2,2500
GUARANA,Beers,15,300
GUINESS CAN 500ML,Beers,33,300
HUNTERS CHOICE 350ML,Whiskey,16,650
HUNTERS CHOICE 750ML,Whiskey,3,1600
HUNTERS DRY,Beers,2,300
HUNTERS GOLD,Beers,5,300
JACK DANIEL 350ML,Whiskey,1,2100
JAMESON 1 LTR,Whiskey,2,4000
JAMESON BLACKBARREL 750ML,Whiskey,2,4500
JINRO GRAPE FRUIT,Beers,1,450
JINRO GREEN GRAPE,Beers,6,450
JINRO LEMON SOJU,Beers,2,450
JINRO PEACH,Beers,4,450
JOHN BARR RED 750ML,Whiskey,1,2500
JOHNNIE WALKER BLACK 1 LTR,Whiskey,1,4700
JOHNNIE WALKER BLACK 375ML,Whiskey,4,2200
JOHNNIE WALKER BLACK 750ML,Whiskey,1,4000
JOHNNIE WALKER RED 1 LTR,Whiskey,1,2800
JOHNNIE WALKER RED 375ML,Whiskey,1,1200
JOHNNIE WALKER RED 750ML,Whiskey,1,2500
JOHNNIE WALKER DOUBLE BLACK 1L,Whiskey,2,11000
JOHNNIE WALKER DOUBLE BLACK 750ML,Whiskey,1,9500
JUZZ VODKA 250ML,Vodka,21,250
KENYA CANE SMOOTH 250ML,Spirit,5,350
KENYA CANE LEMON GINGER 250ML,Spirit,14,400
KENYA CANE LEMON GINGER 750ML,Spirit,14,1000
KENYA CANE PINEAPPLE 250ML,Spirit,23,350
KENYA CANE PINEAPPLE 750ML,Spirit,8,1000
KENYA CANE SMOOTH 350ML,Spirit,2,550
KENYA CANE SMOOTH 750ML,Spirit,3,1000
KIBAO GIN 250ML,Gin,10,450
KIBAO GIN 350ML,Gin,6,650
KIBAO VODKA 250ML,Vodka,10,350
KIBAO VODKA 375ML,Vodka,6,600
KIBAO VODKA 750ML,Vodka,3,1200
KO PINEAPPLE,Soft Drinks,21,300
KONYAGI 250ML,Spirit,21,350
KONYAGI 500ML,Spirit,19,700
KONYAGI 750ML,Spirit,18,1000
LIME JUICE 1.5L,Soft Drinks,11,300
MANYATTA PINEAPPLE,Soft Drinks,16,300
MANYATTA PINEAPPLE CAN,Beers,21,300
MARTEL VS 700ML,Cognac,1,5600
ORIGIN 250ML,Spirit,5,450
ORIGIN 750ML,Spirit,2,1000
PEOPLE VODKA 250ML,Vodka,10,250
PILSNER CAN,Beers,3,300
PREDATOR,Juices,7,70
REDBULL,Soft Drinks,1,300
REDBULL APRICOT,Soft Drinks,1,300
REDBULL RED EDITION,Soft Drinks,22,300
RICHOT 250ML,Brandy,5,700
ROSSO NOBILE CHOCOLATE 750ML,Cognac,5,1700
SAFARI LEMONADE 300ML,Soft Drinks,34,70
SAVANAH DRY BOTTLE,Beers,5,320
SINGLETON 12 YRS 750ML,Whiskey,1,6500
SMART VODKA 250ML,Vodka,19,250
SMIRNOFF ICE RASPBERRY,Beers,24,300
SMIRNOFF PINEAPPLE PUNCH,Beers,20,300
SMIRNOFF VODKA 250ML,Vodka,5,650
SMIRNOFF VODKA 350ML,Vodka,5,750
SMIRNOFF VODKA 750ML,Vodka,2,1800
SNAPP CAN,Beers,33,300
SODA 500ML,Soft Drinks,19,80
SODA 1.25L,Soft Drinks,13,170
SODA 2 LTR,Soft Drinks,10,200
SODAS 350ML,Soft Drinks,1,50
TOP SECRET 250ML,Whiskey,5,500
TORRERO 750ML,Whiskey,1,1500
TRIPLE ACE 250ML,Whiskey,7,300
TUSKER CIDER CAN,Beers,14,300
TUSKER LAGER CAN,Beers,22,300
TUSKER LITE 500ML CAN,Beers,18,300
TUSKER MALT CAN,Beers,42,300
VAT 69 1 LTR,Whiskey,2,2100
VAT 69 350ML,Whiskey,2,1000
VERO,Soft Drinks,95,100
VICEROY 250ML,Brandy,7,650
VICEROY 350ML,Brandy,12,900
VICEROY 750ML,Brandy,3,1600
WATER 1 LTR,Mineral Water,6,100
WHITE CAP CAN,Beers,47,300
WILLIAM LAWSONS 1L,Whiskey,1,0
WILLIAM LAWSONS 750ML,Whiskey,2,0
