name,category,price,stock
8PM VODKA 250ML,Vodka,600,
AMARULA 375ML,Cream,1500,
ASCONI PASTORAL 750ML,Wines,2400,
BALOZI CAN,Beers,300,
BEST CREAM 750ML,Cream,1800,
BEST GIN 750ML,Gin,1500,
BEST WHISKEY 750ML,Whiskey,1500,
BLACK AND WHITE 375ML,Whiskey,1200,
BLACK ICE CAN,Beers,300,
BLUE ICE COCONUT 250ML,Gin,200,
BLUE ICE VODKA 250ML,Vodka,200,
BOND 7 250ML,Whiskey,750,
BOND 7 350ML,Whiskey,1000,
BOND 7 WHISKY 750ML,Whiskey,1600,
CAPRICE DRY RED 1L,Wines,1200,
CAPRICE DRY WHITE 1L,Wines,1200,
CAPTAIN MORGAN GOLD 250ML,Rum,400,
CAPTAIN MORGAN GOLD 750ML,Rum,1500,
CAPTAIN MORGAN MELON 250ML,Rum,450,
CAPTAIN MORGAN SPLASH 750ML,Rum,1500,
CHROME BRANDY 250ML,Brandy,300,
CHROME BRANDY 750ML,Brandy,1200,
CHROME GIN 250ML,Gin,320,
CHROME GIN 750ML,Gin,900,
CHROME VODKA 250ML,Vodka,300,
CHROME VODKA 750ML,Vodka,1000,
COKE CAN,Soft Drinks,150,
COUNTY BRANDY 250ML,Brandy,350,
COUNTY BRANDY 750ML,Brandy,1000,
DALLAS BRANDY 250ML,Brandy,200,
DR FINE WATER 1L,Soft Drinks,100,
DR FINE WATER 500ML,Soft Drinks,50,
FAMOUS GROUSE 750ML,Whiskey,2500,
FAXE 500ML,Beers,450,
FOUR COUSINS WHITE 750ML,Wines,1200,
GILBEYS DRY GIN 250ML,Gin,650,
GILBEYS DRY GIN 350ML,Gin,900,
GILBEYS DRY GIN 750ML,Gin,1500,
GORDONS DRY AND TONIC CAN,Gin,0,
GORDONS PINK CAN,Gin,300,
GRANTS 350ML,Whiskey,1200,
GRANTS WHISKY 1L,Whiskey,2750,
GRANTS WHISKY 750ML,Whiskey,2500,
GUARANA,Beers,300,
GUINESS CAN 500ML,Beers,300,
HUNTERS CHOICE 350ML,Whiskey,650,
HUNTERS CHOICE 750ML,Whiskey,1600,
HUNTERS DRY,Beers,300,
HUNTERS GOLD,Beers,300,
JACK DANIEL 350ML,Whiskey,2100,
JAMESON 1 LTR,Whiskey,4000,
JAMESON BLACKBARREL 750ML,Whiskey,4500,
JINRO GRAPE FRUIT,Beers,450,
JINRO GREEN GRAPE,Beers,450,
JINRO LEMON SOJU,Beers,450,
JINRO PEACH,Beers,450,
JOHN BARR RED 750ML,Whiskey,2500,
JOHNNIE WALKER BLACK 1 LTR,Whiskey,4700,
JOHNNIE WALKER BLACK 375ML,Whiskey,2200,
JOHNNIE WALKER BLACK 750ML,Whiskey,4000,
JOHNNIE WALKER RED 1 LTR,Whiskey,2800,
JOHNNIE WALKER RED 375ML,Whiskey,1200,
JOHNNIE WALKER RED 750ML,Whiskey,2500,
JOHNNIE WALKER DOUBLE BLACK 1L,Whiskey,11000,
JOHNNIE WALKER DOUBLE BLACK 750ML,Whiskey,9500,
JUZZ VODKA 250ML,Vodka,250,
KENYA CANE SMOOTH 250ML,Spirit,350,
KENYA CANE LEMON GINGER 250ML,Spirit,400,
KENYA CANE LEMON GINGER 750ML,Spirit,1000,
KENYA CANE PINEAPPLE 250ML,Spirit,350,
KENYA CANE PINEAPPLE 750ML,Spirit,1000,
KENYA CANE SMOOTH 350ML,Spirit,550,
KENYA CANE SMOOTH 750ML,Spirit,1000,
KIBAO GIN 250ML,Gin,450,
KIBAO GIN 350ML,Gin,650,
KIBAO VODKA 250ML,Vodka,350,
KIBAO VODKA 375ML,Vodka,600,
KIBAO VODKA 750ML,Vodka,1200,
KO PINEAPPLE,Soft Drinks,300,
KONYAGI 250ML,Spirit,350,
KONYAGI 500ML,Spirit,700,
KONYAGI 750ML,Spirit,1000,
LIME JUICE 1.5L,Soft Drinks,300,
MANYATTA PINEAPPLE,Soft Drinks,300,
MANYATTA PINEAPPLE CAN,Beers,300,
MARTEL VS 700ML,Cognac,5600,
ORIGIN 250ML,Spirit,450,
ORIGIN 750ML,Spirit,1000,
PEOPLE VODKA 250ML,Vodka,250,
PILSNER CAN,Beers,300,
PREDATOR,Juices,70,
REDBULL,Soft Drinks,300,
REDBULL APRICOT,Soft Drinks,300,
REDBULL RED EDITION,Soft Drinks,300,
RICHOT 250ML,Brandy,700,
ROSSO NOBILE CHOCOLATE 750ML,Cognac,1700,
SAFARI LEMONADE 300ML,Soft Drinks,70,
SAVANAH DRY BOTTLE,Beers,320,
SINGLETON 12 YRS 750ML,Whiskey,6500,
SMART VODKA 250ML,Vodka,250,
SMIRNOFF ICE RASPBERRY,Beers,300,
SMIRNOFF PINEAPPLE PUNCH,Beers,300,
SMIRNOFF VODKA 250ML,Vodka,650,
SMIRNOFF VODKA 350ML,Vodka,750,
SMIRNOFF VODKA 750ML,Vodka,1800,
SNAPP CAN,Beers,300,
SODA 500ML,Soft Drinks,80,
SODA 1.25L,Soft Drinks,170,
SODA 2 LTR,Soft Drinks,200,
SODAS 350ML,Soft Drinks,50,
TOP SECRET 250ML,Whiskey,500,
TORRERO 750ML,Whiskey,1500,
